INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.237; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.238; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-10-05 06:57:48.252; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-10-05 06:57:48.255; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-10-05 06:57:48.256; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-10-05 06:57:48.274; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2013-10-05 06:57:48.274; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-10-05 06:57:48.280; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/bjo/workspace/solr-4.5.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@74e16785; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-10-05 06:57:48.281; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-10-05 06:57:48.288; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@6d8f729c main
INFO  - 2013-10-05 06:57:48.292; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-10-05 06:57:48.297; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-10-05 06:57:48.301; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-10-05 06:57:48.302; org.apache.solr.handler.clustering.ClusteringComponent; Initializing Clustering Engines
INFO  - 2013-10-05 06:57:48.321; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'lingo'
INFO  - 2013-10-05 06:57:48.323; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/lingo-attributes.xml
INFO  - 2013-10-05 06:57:48.456; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'stc'
INFO  - 2013-10-05 06:57:48.456; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/stc-attributes.xml
INFO  - 2013-10-05 06:57:48.461; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'kmeans'
INFO  - 2013-10-05 06:57:48.462; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/kmeans-attributes.xml
INFO  - 2013-10-05 06:57:48.470; org.apache.solr.handler.clustering.ClusteringComponent; Default engine for search results clustering: lingo
INFO  - 2013-10-05 06:57:48.470; org.apache.solr.handler.clustering.ClusteringComponent; Finished Initializing Clustering Engines
INFO  - 2013-10-05 06:57:48.471; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/bjo/workspace/solr-4.5.0/example/solr/collection1/conf/elevate.xml
INFO  - 2013-10-05 06:57:48.488; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-10-05 06:57:48.489; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@6d8f729c main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-10-05 06:57:48.490; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-10-05 06:57:48.495; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/bjo/workspace/solr-4.5.0/example
INFO  - 2013-10-05 06:57:48.495; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-10-05 06:57:48.517; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-10-05 06:57:48.529; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=38 
INFO  - 2013-10-05 06:57:48.530; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-10-05 06:57:48.530; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-10-05 06:57:48.530; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-10-05 06:57:48.531; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@6d8f729c main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-10-05 06:57:55.888; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1380981475883&wt=json} status=0 QTime=1 
INFO  - 2013-10-05 06:57:55.938; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1380981475912&wt=json} status=0 QTime=24 
INFO  - 2013-10-05 06:58:02.284; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/logging params={_=1380981482281&since=0&wt=json} status=0 QTime=2 
INFO  - 2013-10-05 06:58:08.666; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-bottom.html&_=1380981488663&contentType=text/html;charset%3Dutf-8} status=0 QTime=1 
